Date,Precipitacion,Temperatura_Minima,Temperatura_Maxima,Int._del_Viento
2018-11-27,"3,9","13,3","20,1","3,9"
2018-11-28,0,"9,5","26,6","5,2"
2018-11-29,"12,8","15,2","29,4","6,7"
2018-11-30,"0,4","13,3","26,6","5,8"
2018-12-01,0,"12,8","20,1","5,4"
2018-12-02,0,"12,1","20,4","3,9"
2018-12-03,0,"14,7","29,8",4
2018-12-04,0,"15,5","32,6","3,4"
2018-12-05,0,"14,5","25,7","2,3"
2018-12-06,0,12,"23,9","4,1"
2018-12-07,0,"11,3","29,8","2,1"
2018-12-08,0,"19,6",33,"7,1"
2018-12-09,0,"17,6","30,7","1,9"
2018-12-10,0,"14,6","38,1",6
2018-12-11,"9,4","18,1","28,3","4,1"
2018-12-12,0,"17,4","30,3",6
2018-12-13,"6,1","18,1","30,1","4,9"
2018-12-14,"0,1","12,6",25,"5,8"
2018-12-15,0,"13,6","32,2","4,4"
2018-12-16,0,19,"34,7","4,7"
2018-12-17,"1,1","16,5","25,3",6
2018-12-18,"1,1","14,4",23,"4,3"
2018-12-19,"1,9","13,2","32,9","9,1"
2018-12-20,7,"12,2","23,3","11,6"
2018-12-21,0,"10,6","28,3","3,8"
2018-12-22,0,"12,6",34,"3,8"
2018-12-23,0,"16,4","36,8","3,4"
2018-12-24,0,"18,3","37,2","5,6"
2018-12-25,0,"20,6",38,"5,7"
2018-12-26,0,"22,1","39,7",5
2018-12-27,"14,5","17,6","26,5","7,8"
2018-12-28,"0,2","20,6","30,2","4,2"
2018-12-29,"8,3","20,3","35,4","4,4"
2018-12-30,0,"14,7",25,"7,5"
2018-12-31,0,15,"33,2","4,5"
2019-01-01,0,"20,9","34,7","4,3"
2019-01-02,0,"18,7","26,9","6,4"
2019-01-03,0,"12,8","31,6",5
2019-01-04,0,12,34,"4,9"
2019-01-05,0,"21,3","34,9","3,7"
2019-01-06,"24,1","16,4","24,9","5,1"
2019-01-07,0,"13,9","28,6","4,1"
2019-01-08,0,"18,2","29,3","4,6"
2019-01-09,"3,4","16,3","21,5","5,2"
2019-01-10,"6,5","9,9","19,1","5,6"
2019-01-11,0,"9,2",28,"4,5"
2019-01-12,0,17,"29,8","5,6"
2019-01-13,"0,2","14,6","24,3","3,9"
2019-01-14,"1,5","12,1","25,8","3,8"
2019-01-15,"0,2","15,8","30,3","2,9"
2019-01-16,0,"15,7","34,1","8,4"
2019-01-17,"36,4","11,4",17,"5,4"
2019-01-18,0,"7,5","22,4","4,3"
2019-01-19,0,"11,6","28,5","5,4"
2019-01-20,0,"17,3","30,7","5,4"
2019-01-21,0,"16,4","30,1","3,4"
2019-01-22,0,"17,4","33,9","4,1"
2019-01-23,0,21,"30,5","4,8"
2019-01-24,0,"22,4","35,6","4,6"
2019-01-25,"1,7","21,3","33,4","7,4"
2019-01-26,"0,1","20,7","30,1","4,4"
2019-01-27,0,"18,4","34,5","4,3"
2019-01-28,0,"19,5","36,3","3,1"
2019-01-29,"1,5","22,2","38,4","5,4"
2019-01-30,0,"21,2","31,6","4,6"
2019-01-31,"0,1","20,4","33,1","4,7"
2019-02-01,0,"19,7","32,3","5,4"
2019-02-02,0,"18,9","27,2","5,9"
2019-02-03,0,"15,6","25,7","5,5"
2019-02-04,0,"14,1","30,4","4,9"
2019-02-05,0,15,"32,8","4,9"
2019-02-06,0,"17,2",35,"4,9"
2019-02-07,0,"20,8","35,9","4,5"
2019-02-08,"0,1",20,"28,1","4,5"
2019-02-09,0,"20,5","34,2","3,3"
2019-02-10,"14,6","19,9","31,1","4,5"
2019-02-11,"0,2","13,3","19,4","6,5"
2019-02-12,0,"7,3","22,4","4,3"
2019-02-13,0,"13,5","25,1",4
2019-02-14,0,"10,9","31,2","1,6"
2019-02-15,0,"13,5",32,"3,3"
2019-02-16,0,"12,3","34,6","3,9"
2019-02-17,0,"18,4","35,4","4,3"
2019-02-18,0,"18,8","35,7",5
2019-02-19,0,"19,4","34,5","2,2"
2019-02-20,0,17,"38,9","5,2"
2019-02-21,0,"19,5","34,6","5,5"
2019-02-22,0,"22,4","25,1","4,4"
2019-02-23,"4,7","15,8","24,4",2
2019-02-24,"0,1","13,2","26,8","3,2"
2019-02-25,0,"8,9","20,4","2,8"
2019-02-26,0,"10,1","25,5","2,6"
2019-02-27,0,"12,7","31,7","4,4"
2019-02-28,0,"11,2",34,"3,6"
2019-03-01,0,21,"32,9","5,7"
2019-03-02,0,"16,3","27,8","5,5"
2019-03-03,"11,9","13,5","35,1","5,7"
2019-03-04,"14,1","17,5","25,4","9,8"
2019-03-05,0,"17,9","24,5","4,9"
2019-03-06,0,"18,4","30,9","3,9"
2019-03-07,"1,2","16,8",32,6
2019-03-08,"4,5","12,9",19,3
2019-03-09,"6,3","12,5","18,8","4,3"
2019-03-10,"0,1","8,6","19,3","2,5"
2019-03-11,"8,7","13,9","20,6","2,6"
2019-03-12,"1,6","14,3",22,3
2019-03-13,"0,1","9,7",26,"4,2"
2019-03-14,"21,3","11,5","30,3","5,5"
2019-03-15,"18,9","13,6","20,1","3,6"
2019-03-16,"6,8","13,3","21,7","3,5"
2019-03-17,"0,1","13,8","24,6","1,7"
2019-03-18,0,"12,6","25,9","3,3"
2019-03-19,"0,1","9,8","17,7","4,2"
2019-03-20,0,4,"17,8","3,7"
2019-03-21,0,"4,8","22,7","4,1"
2019-03-22,0,"12,9",26,"4,5"
2019-03-23,0,"10,9","29,6","3,2"
2019-03-24,0,"8,3","22,1",3
2019-03-25,0,"12,1","16,4","2,3"
2019-03-26,"0,4","10,5","16,7","2,8"
2019-03-27,"0,3",13,"20,6","2,4"
2019-03-28,0,"13,4","25,1","4,8"
2019-03-29,0,"9,5","27,5","4,4"
2019-03-30,0,"11,6","28,6","1,2"
2019-03-31,9,0,"19,5","0,9"
2019-04-01,0,0,"26,3","2,2"
2019-04-02,0,"16,2","30,1","4,8"
2019-04-03,0,"11,5","29,7","3,8"
2019-04-04,0,"8,7","23,8","9,3"
2019-04-05,0,"5,3","22,7","2,4"
2019-04-06,0,"7,5","28,3","2,6"
2019-04-07,0,"10,2",29,"3,2"
2019-04-08,0,"8,6","31,5","2,8"
2019-04-09,0,"10,4","28,5","4,8"
2019-04-10,0,"12,5","26,6","4,3"
2019-04-11,0,"7,9",24,"4,6"
2019-04-12,0,7,"28,9","5,1"
2019-04-13,0,"16,5","26,6","5,8"
2019-04-14,0,"12,5","24,1","1,8"
2019-04-15,"16,8","9,7",19,"5,1"
2019-04-16,"0,1","9,8","27,4","4,3"
2019-04-17,0,"10,5",27,"4,3"
2019-04-18,0,"11,6","26,3","2,3"
2019-04-19,0,"13,4","25,9","1,9"
2019-04-20,0,"13,7","20,9","1,4"
2019-04-21,"1,8","12,4","18,8","4,2"
2019-04-22,"0,4","10,6","16,5",4
2019-04-23,0,"11,8","20,2","2,6"
2019-04-24,"9,9","6,6",13,"4,7"
2019-04-25,"1,5","11,5","15,2","3,1"
2019-04-26,"0,7","13,2","16,5","2,6"
2019-04-27,"0,1","8,1","22,8","3,1"
2019-04-28,"0,1","9,1","26,6","2,8"
2019-04-29,0,"7,2","16,7","3,6"
2019-04-30,0,"5,7","20,1","3,6"
2019-05-01,0,"6,5","25,6","3,7"
2019-05-02,0,"14,1","25,9","4,6"
2019-05-03,0,"8,2","22,7","3,9"
2019-05-04,0,"14,7","25,3","3,1"
2019-05-05,"5,1","13,5","18,4","2,8"
2019-05-06,0,"10,6","19,5","4,7"
2019-05-07,0,"13,1","22,1","4,1"
2019-05-08,0,"13,5","21,2","4,7"
2019-05-09,"7,1","11,3","19,8","7,6"
2019-05-10,0,"5,3","18,2","3,1"
2019-05-11,"0,1","3,6","23,3",3
2019-05-12,0,"6,7","26,8","3,1"
2019-05-13,0,"7,4","20,6","3,8"
2019-05-14,0,"3,8","25,4","2,4"
2019-05-15,0,"6,1","24,2",5
2019-05-16,0,"7,1","22,5","6,5"
2019-05-17,0,"9,4","24,5","7,3"
2019-05-18,0,"3,4","17,3","5,4"
2019-05-19,0,"0,6","17,9","4,3"
2019-05-20,"1,7","7,1","11,7","4,6"
2019-05-21,"8,2","6,5","7,7","4,4"
2019-05-22,"1,5","3,6","10,5","1,4"
2019-05-23,0,"2,1","18,8","3,2"
2019-05-24,0,"1,7","23,2","3,7"
2019-05-25,0,"5,4","21,3","3,4"
2019-05-26,0,"3,2","18,9","2,6"
2019-05-27,"0,5","0,1","16,6","2,5"
2019-05-28,0,"1,1","18,3","3,5"
2019-05-29,0,"8,5","15,4","4,7"
2019-05-30,0,"8,8","14,5","2,9"
2019-05-31,0,"8,8","13,1","3,3"
2019-06-01,0,"2,3","19,5","2,4"
2019-06-02,0,"1,8","19,2","2,4"
2019-06-03,0,"2,1","22,1","3,2"
2019-06-04,0,"9,2","23,2","6,6"
2019-06-05,0,7,"18,7","7,7"
2019-06-06,"0,1","4,4","19,7",3
2019-06-07,"0,2","0,9","16,4","3,6"
2019-06-08,0,"1,4","21,4","4,7"
2019-06-09,0,"3,9","23,2","5,5"
2019-06-10,0,"2,7","20,1","3,1"
2019-06-11,0,"2,1","15,9","3,3"
2019-06-12,0,"6,9","12,4","2,9"
2019-06-13,"0,1",8,"12,1","3,8"
2019-06-14,"0,2","4,7","10,8","2,9"
2019-06-15,"10,3","3,5","8,4","4,5"
2019-06-16,3,"3,6","7,2","3,9"
2019-06-17,"0,1","2,5","10,6","4,1"
2019-06-18,0,"3,3","16,2","6,6"
2019-06-19,0,1,"21,4","3,2"
2019-06-20,0,"-0,4","19,3","7,1"
2019-06-21,0,"3,8",19,"2,9"
2019-06-22,0,"3,7","19,9","3,3"
2019-06-23,0,"4,3",21,"2,9"
2019-06-24,"0,7","3,7","19,5","7,2"
2019-06-25,0,"-1,8","13,1","3,9"
2019-06-26,0,"-2,6","17,5","6,4"
2019-06-27,0,"2,3","17,7","5,1"
2019-06-28,0,"1,6","17,3","3,6"
2019-06-29,0,"-0,2","12,3","2,9"
2019-06-30,0,"-1,7","12,5","3,3"
2019-07-01,0,"-3,2","18,2","5,5"
2019-07-02,0,"1,2","15,4","5,7"
2019-07-03,0,"-2,9","15,1","3,2"
2019-07-04,0,"-3,5","9,1","3,1"
2019-07-05,0,"-4,7","12,5","3,2"
2019-07-06,0,"-3,1","17,7","3,7"
2019-07-07,0,"3,4","17,6","5,1"
2019-07-08,0,"3,9","17,1","4,1"
2019-07-09,0,1,"17,6","2,9"
2019-07-10,0,"1,3","21,2",3
2019-07-11,0,"2,9","18,4","3,1"
2019-07-12,0,"2,4","15,1","3,5"
2019-07-13,0,3,"19,1","2,4"
2019-07-14,0,"2,9","20,7","3,2"
2019-07-15,0,"2,6","15,5","3,1"
2019-07-16,0,"1,8","20,8","5,9"
2019-07-17,0,"13,5","23,5","7,3"
2019-07-18,0,"-0,4","14,3","4,5"
2019-07-19,0,-3,"22,1","4,2"
2019-07-20,0,"2,2","22,6",4
2019-07-21,0,"7,1",19,"5,3"
2019-07-22,0,"-0,1","10,8","2,4"
2019-07-23,0,"1,6","11,6","5,2"
2019-07-24,0,"-0,6","15,4","3,1"
2019-07-25,0,"-1,8","14,7","2,4"
2019-07-26,0,"-1,5","18,4","3,6"
2019-07-27,0,"-1,9","20,8","4,6"
2019-07-28,0,"2,7","20,7","3,4"
2019-07-29,0,"2,6","19,4","2,9"
2019-07-30,0,"4,6","22,2","3,3"
2019-07-31,0,"9,9","20,8","6,2"
2019-08-01,0,"0,8","16,4","8,8"
2019-08-02,0,"-2,2","15,2","4,1"
2019-08-03,0,"-2,1","20,2",3
2019-08-04,0,"0,9",23,"5,5"
2019-08-05,0,"12,7","25,2","6,9"
2019-08-06,0,"3,1","20,4","8,9"
2019-08-07,0,"-2,7","13,8","1,9"
2019-08-08,0,"-1,3","9,4","1,9"
2019-08-09,0,"-1,9","16,1","2,6"
2019-08-10,0,"1,4","21,7","3,9"
2019-08-11,0,"-0,7","21,4","3,9"
2019-08-12,0,"-1,7","13,9",5
2019-08-13,0,"-4,8","12,7","3,6"
2019-08-14,0,"1,4","17,7","8,3"
2019-08-15,0,"0,3",19,"2,7"
2019-08-16,"0,6","0,4","22,1","2,2"
2019-08-17,0,"2,1","20,6","2,9"
2019-08-18,0,0,"8,4","5,5"
2019-08-19,0,"4,7","11,6","5,2"
2019-08-20,0,"1,5","13,4","4,1"
2019-08-21,0,"-1,1","20,5",5
2019-08-22,0,"2,7","20,3","2,9"
2019-08-23,0,"1,2","24,7","5,7"
2019-08-24,0,"5,4","25,4","4,9"
2019-08-25,0,"3,3","25,1","3,6"
2019-08-26,"0,1","6,9","30,7","4,3"
2019-08-27,0,"11,2","26,6","4,6"
2019-08-28,0,"12,1","33,9","6,5"
2019-08-29,0,"9,7","19,7","3,8"
2019-08-30,0,"3,3","17,1","3,2"
2019-08-31,0,"-0,9",19,"2,5"
2019-09-01,0,-3,"16,3","3,7"
2019-09-02,0,"-4,1","11,7","7,7"
2019-09-03,0,"-9,1","15,1","2,5"
2019-09-04,0,"-2,5","15,7","3,9"
2019-09-05,0,"7,7","16,4","5,3"
2019-09-06,0,2,"19,8","3,3"
2019-09-07,0,0,19,"4,3"
2019-09-08,0,"0,6","24,1",2
2019-09-09,12,5,"14,7","6,9"
2019-09-10,0,2,"15,1","12,8"
2019-09-11,"5,4","4,4","11,2",5
2019-09-12,0,"2,9","20,3","3,9"
2019-09-13,0,"2,3","24,1","4,4"
2019-09-14,0,"6,4","25,9","4,6"
2019-09-15,0,"7,9","23,6","6,6"
2019-09-16,0,"5,4","17,4",5
2019-09-17,0,"4,5","23,7","5,1"
2019-09-18,0,3,"28,5","4,1"
2019-09-19,0,"3,1","18,6","6,9"
2019-09-20,0,"1,4","21,4","2,2"
2019-09-21,0,"4,5","23,4","4,6"
2019-09-22,0,"6,5","26,7","5,2"
2019-09-23,0,"9,5",28,"4,7"
2019-09-24,0,"7,3","28,5","2,9"
2019-09-25,0,"10,3","31,9","3,3"
2019-09-26,0,"8,5","33,1","4,9"
2019-09-27,0,"17,2","30,4","5,7"
2019-09-28,0,"10,7","32,8","1,2"
2019-09-29,0,13,"36,3","5,9"
2019-09-30,0,"12,4","26,4","3,4"
2019-10-01,0,1,"18,2","2,5"
2019-10-02,0,"0,3","19,5","3,8"
2019-10-03,0,6,"13,1","5,5"
2019-10-04,"0,3","2,5","17,3","2,9"
2019-10-05,0,"1,5","22,2","2,6"
2019-10-06,0,"3,1","28,5","4,9"
2019-10-07,0,"13,9","24,3","6,5"
2019-10-08,0,"10,5","26,5","1,9"
2019-10-09,0,"8,2","31,9","1,7"
2019-10-10,0,"11,5","34,2","4,1"
2019-10-11,0,18,"29,2","3,4"
2019-10-12,"0,4","16,7","26,1","1,4"
2019-10-13,0,"13,3","20,5","2,6"
2019-10-14,"1,9","6,2","11,5","2,8"
2019-10-15,0,"7,1","13,4","4,1"
2019-10-16,"1,4","8,2","13,4","3,3"
2019-10-17,"0,2","9,4","23,1",2
2019-10-18,0,"4,2","26,2",3
2019-10-19,0,"8,8","29,4","5,2"
2019-10-20,"1,1","10,4","21,3","2,9"
2019-10-21,0,"9,3","26,7","2,5"
2019-10-22,"5,7","9,2","20,5","3,2"
2019-10-23,0,"6,2","24,8","3,1"
2019-10-24,"0,1","8,9","29,2","4,3"
2019-10-25,2,"10,2","30,5","2,8"
2019-10-26,0,"15,8","32,4","6,2"
2019-10-27,"14,4","15,2","28,7","5,6"
2019-10-28,0,"13,9","22,8","3,3"
2019-10-29,0,"8,7",27,"4,9"
2019-10-30,0,"12,6","22,1","3,6"
2019-10-31,0,11,"28,3","5,4"
2019-11-01,0,"16,3","33,1","2,7"
2019-11-02,"0,1","14,3","24,6","5,5"
2019-11-03,0,"9,1","31,5","3,9"
2019-11-04,0,"17,4","28,7","4,2"
2019-11-05,0,"7,5","28,3","5,7"
2019-11-06,0,"14,1","29,9",6
2019-11-07,0,16,"29,8","3,3"
2019-11-08,"7,8","12,4","33,4","4,1"
2019-11-09,0,"12,6","26,5","3,5"
2019-11-10,"0,4","17,2","25,8","4,4"
2019-11-11,0,"16,1","34,8","4,1"
2019-11-12,"20,7","16,8","28,6","4,6"
2019-11-13,0,"18,7","31,9","3,8"
2019-11-14,0,"15,2","29,7","1,8"
2019-11-15,"0,5","15,6","35,4","4,5"
2019-11-16,"32,4","17,9","28,5","4,2"
2019-11-17,0,"19,6","29,5","5,8"
2019-11-18,0,"15,3","27,9","1,6"
2019-11-19,"11,2","17,4","33,6","4,3"
2019-11-20,0,"22,4","34,2","3,3"
2019-11-21,"0,7","18,7","34,5","9,1"
2019-11-22,"0,9","18,4","20,9","4,1"
2019-11-23,"36,5","14,7","25,1","4,6"
2019-11-24,0,"17,7","28,3","5,2"
2019-11-25,"21,4",0,"21,5","10,1"
2019-11-26,0,0,"20,7","3,3"
2019-11-27,0,"8,3","26,4","1,4"
2019-11-28,0,"12,4","31,6","5,4"
2019-11-29,0,"16,2","31,6","4,1"
2019-11-30,0,"12,7","26,9",2
2019-12-01,0,"13,6","29,9",6
2019-12-02,"10,9",16,"30,4","5,5"
2019-12-03,"0,1","16,6","24,5","2,5"
2019-12-04,0,"10,6","21,3","2,5"
2019-12-05,0,8,31,3
2019-12-06,0,"13,6","30,2","3,3"
2019-12-07,"0,8","17,6","25,6","3,8"
2019-12-08,0,15,"32,4","2,7"
2019-12-09,0,"16,9","34,9","3,1"
2019-12-10,0,"19,3",36,"5,4"
2019-12-11,0,"17,6","34,1","4,8"
2019-12-12,0,"13,9","25,2","3,1"
2019-12-13,0,"8,5","33,4","5,4"
2019-12-14,0,"15,8","29,4","3,4"
2019-12-15,0,"13,9","29,1","4,2"
2019-12-16,0,"13,1","31,1","1,8"
2019-12-17,0,"10,9","34,4",5
2019-12-18,0,23,"36,2","7,3"
2019-12-19,"12,9","18,9","35,5","4,2"
2019-12-20,"8,9","15,7","24,8","8,3"
2019-12-21,0,"13,4",26,"3,3"
2019-12-22,0,"12,8","30,8","3,8"
2019-12-23,0,"17,7","36,1","6,3"
2019-12-24,0,20,"38,6","9,8"
2019-12-25,0,"13,5","22,4","4,8"
2019-12-26,0,"13,7","31,2","4,5"
2019-12-27,0,"17,7","36,2","2,8"
2019-12-28,0,"21,1","27,3","4,9"
2019-12-29,"0,1","20,7","36,4","5,1"
2019-12-30,0,"21,1","32,5","1,9"
2019-12-31,0,19,"35,6","3,8"
2020-01-01,0,"17,1","27,1","3,7"
2020-01-02,0,"15,9","31,4","5,1"
2020-01-03,0,"17,4","34,8",5
2020-01-04,"0,1","18,4","36,3","2,4"
2020-01-05,7,"16,9",33,"5,5"
2020-01-06,"0,1","9,8","25,9","2,2"
2020-01-07,0,"11,3","34,3","3,6"
2020-01-08,"0,2","24,7","36,9","6,5"
2020-01-09,0,"20,1","26,8","5,7"
2020-01-10,0,"17,6","28,9","2,3"
2020-01-11,"0,4","18,3","34,4","4,6"
2020-01-12,"4,6","19,4","32,1","4,1"
2020-01-13,"4,1","20,1","33,6","4,3"
2020-01-14,3,"22,2","31,8","5,3"
2020-01-15,"1,9","15,9","25,2",3
2020-01-16,0,"10,8","27,5","1,6"
2020-01-17,0,"17,8","32,6","3,9"
2020-01-18,0,"18,6","34,1",4
2020-01-19,0,"18,6","36,9","4,2"
2020-01-20,"30,9","20,6","37,3","5,2"
2020-01-21,0,"18,3","28,5","5,2"
2020-01-22,0,"17,4","30,7","5,3"
2020-01-23,"0,2",17,"36,1","3,8"
2020-01-24,0,22,"35,4","4,3"
2020-01-25,0,17,"35,1","3,9"
2020-01-26,"6,3","16,9","35,1","2,4"
2020-01-27,0,"17,5","30,6","4,7"
2020-01-28,0,"19,3","34,7",8
2020-01-29,"4,9","17,4","27,8","8,4"
2020-01-30,0,"14,3","30,1","3,2"
2020-01-31,0,"16,3","35,8","4,8"
2020-02-01,0,"20,4","36,1","4,4"
2020-02-02,0,"16,9","33,9","4,9"
2020-02-03,0,"20,3","38,9","6,3"
2020-02-04,30,"20,6","34,5","4,9"
2020-02-05,"0,3","18,2",25,"5,3"
2020-02-06,0,"17,6","26,3","4,6"
2020-02-07,"3,1","18,9","24,3","3,5"
2020-02-08,"0,3","20,3","25,5","4,5"
2020-02-09,0,"17,3","24,6","6,1"
2020-02-10,0,"16,2","27,9","5,4"
2020-02-11,0,"15,9","29,1","3,8"
2020-02-12,0,"15,9","32,3","4,5"
2020-02-13,0,20,"27,7","4,3"
2020-02-14,0,"17,2","30,4",5
2020-02-15,0,"19,9","35,9","4,3"
2020-02-16,0,"21,5",32,"3,9"
2020-02-17,"0,1","16,4","24,6","6,5"
2020-02-18,0,"8,5","28,3","3,2"
2020-02-19,0,"10,7",33,"5,4"
2020-02-20,0,"14,3","23,3","6,5"
2020-02-21,0,"14,9","23,6","4,2"
2020-02-22,"0,4",14,"25,1","4,9"
2020-02-23,0,"14,4","31,3","5,6"
2020-02-24,0,"19,2",30,"5,7"
2020-02-25,0,"11,4","28,6","3,6"
2020-02-26,0,"7,8","29,7","4,2"
2020-02-27,0,"10,7",34,"4,3"
2020-02-28,"0,3","18,1",35,"3,2"
2020-02-29,0,"16,5","35,9","3,9"
2020-03-01,0,"17,7","35,6","5,2"
2020-03-02,0,"16,2","34,4","6,8"
2020-03-03,0,"13,4",36,5
2020-03-04,0,"16,1","35,3","4,5"
2020-03-05,0,"16,6","36,3","5,2"
2020-03-06,"0,5","19,7","34,8","4,5"
2020-03-07,0,"20,9","37,1","4,8"
2020-03-08,0,"21,6","34,5","4,3"
2020-03-09,0,"18,6","22,9","4,1"
2020-03-10,0,"17,2","36,6","4,8"
2020-03-11,"4,2","17,2","24,7","6,6"
2020-03-12,"7,4",0,"35,2","3,3"
2020-03-13,0,"17,8",36,"4,4"
2020-03-14,0,"14,6","23,6","5,5"
2020-03-15,"1,5","10,8","15,4","4,2"
2020-03-16,"0,1","11,3","28,7","3,6"
2020-03-17,7,"14,9","22,6","4,9"
2020-03-18,0,"10,1","24,2","3,6"
2020-03-19,0,"11,4","29,5",3
2020-03-20,0,"10,9","32,6","3,3"
2020-03-21,0,"16,8","33,5","5,3"
2020-03-22,0,"17,8","34,6",4
2020-03-23,0,"16,4","34,9","5,6"
2020-03-24,0,"17,1","36,4","7,2"
2020-03-25,"54,1","16,1","19,5","6,5"
2020-03-26,12,"15,9","20,8","2,9"
2020-03-27,"0,1","12,4","29,2","2,3"
2020-03-28,0,"13,8","29,4","3,6"
2020-03-29,0,"13,3","27,4","3,1"
2020-03-30,0,"15,7","28,2","4,6"
2020-03-31,"0,5","16,7",24,"3,4"
2020-04-01,"15,7","13,4","19,6","4,6"
2020-04-02,"0,2","7,8","22,5","3,3"
2020-04-03,0,"6,1","27,7","3,1"
2020-04-04,0,"15,6","26,4","5,5"
2020-04-05,0,"13,1","24,8","3,3"
2020-04-06,0,"6,9","18,3","5,5"
2020-04-07,0,"7,2","20,7","3,4"
2020-04-08,0,"11,1","22,6","3,8"
2020-04-09,0,"8,2","26,1","3,5"
2020-04-10,0,"7,4","26,9","4,3"
2020-04-11,0,"11,2","26,9","5,1"
2020-04-12,"3,3","12,5","21,5","5,2"
2020-04-13,"7,8",8,"20,8",4
2020-04-14,"0,6","5,3","21,9","2,3"
2020-04-15,0,"6,1","25,9",3
2020-04-16,0,"9,2",28,"3,2"
2020-04-17,0,"13,4","29,1","4,6"
2020-04-18,0,11,"30,5","5,2"
2020-04-19,0,"14,7","29,5","4,4"
2020-04-20,0,"10,5",29,"3,3"
2020-04-21,0,9,"19,7","4,4"
2020-04-22,0,"10,2","23,2","2,6"
2020-04-23,0,12,"29,4","5,5"
2020-04-24,0,"18,3","25,5","4,7"
2020-04-25,"8,7","14,7","17,9","4,9"
2020-04-26,"1,9","14,7","21,2","6,4"
2020-04-27,0,16,"23,4","3,2"
2020-04-28,0,"7,4","20,3","6,7"
2020-04-29,0,"4,4","25,4","2,5"
2020-04-30,0,"8,5","26,2","3,8"
2020-05-01,0,"5,6","19,7","3,1"
2020-05-02,0,"4,7","26,3","3,3"
2020-05-03,0,"9,8",25,"1,8"
2020-05-04,0,"11,7","24,6","2,1"
2020-05-05,0,"2,5","15,2","5,1"
2020-05-06,0,"-1,4","17,3","1,8"
2020-05-07,0,"0,8","23,4","3,8"
2020-05-08,0,"4,3","23,2","3,5"
2020-05-09,0,7,"27,8","3,8"
2020-05-10,0,"9,2",23,"4,5"
2020-05-11,0,"2,2","18,1","4,2"
2020-05-12,0,"2,9","21,8","2,2"
2020-05-13,0,"1,4","17,2","3,7"
2020-05-14,0,-1,"22,6","2,4"
2020-05-15,0,"11,9","28,4","5,6"
2020-05-16,0,10,"33,5","4,3"
2020-05-17,0,"7,4","25,7","3,5"
2020-05-18,0,"6,3","28,8","5,1"
2020-05-19,0,"9,4","24,6","3,3"
2020-05-20,0,"10,1","13,3","4,2"
2020-05-21,0,"6,2","13,9","4,3"
2020-05-22,0,"-2,3","12,8","2,6"
2020-05-23,0,"-3,8","18,6",2
2020-05-24,0,"5,8","28,2","4,8"
2020-05-25,0,"3,7","20,6","3,1"
2020-05-26,0,"1,4","28,4","4,9"
2020-05-27,0,"6,3","24,1","5,2"
2020-05-28,0,"1,8","20,9","2,1"
2020-05-29,0,"1,7","13,1","5,4"
2020-05-30,0,3,"10,4","6,9"
2020-05-31,0,"-0,3",15,"2,5"
2020-06-01,0,"-1,5","18,4",3
2020-06-02,0,"4,1","21,3","4,1"
2020-06-03,0,"3,4","8,8","2,7"
2020-06-04,0,0,"15,3","3,2"
2020-06-05,0,"0,6","20,7","2,6"
2020-06-06,0,"-0,4",22,"2,7"
2020-06-07,0,"-0,6","20,4","3,4"
2020-06-08,0,"1,7","21,7",3
2020-06-09,0,-1,"19,9","2,7"
2020-06-10,0,"2,7","20,7","4,1"
2020-06-11,0,"5,5","24,2","6,4"
2020-06-12,0,"3,7","17,4","6,1"
2020-06-13,0,"-4,2","12,7","3,3"
2020-06-14,0,"-1,7","20,1",7
2020-06-15,0,"4,2","23,4","5,2"
2020-06-16,0,"4,6","18,8","3,5"
2020-06-17,0,"3,9","16,6","5,2"
2020-06-18,0,"2,5","20,3","3,9"
2020-06-19,0,"2,2","20,6","4,8"
2020-06-20,0,"-0,1","21,8","5,2"
2020-06-21,0,"1,2","15,5","3,6"
2020-06-22,0,"0,3","21,9","3,9"
2020-06-23,0,"1,3","11,4","2,8"
2020-06-24,"2,4","-1,1","6,6","6,2"
2020-06-25,"0,2","-1,5","13,5","2,9"
2020-06-26,0,"-2,6","16,1","4,6"
2020-06-27,0,"-0,3","13,7","3,2"
2020-06-28,0,"-2,5","16,1","4,5"
2020-06-29,0,"0,7","15,9","3,5"
2020-06-30,0,"-0,7",11,"8,1"
2020-07-01,0,"-0,9","10,9","2,5"
2020-07-02,0,"-0,2","17,3","3,2"
2020-07-03,0,"2,5","21,2","6,6"
2020-07-04,0,0,"8,7","5,9"
2020-07-05,0,"-2,2",11,"1,8"
2020-07-06,0,"-5,8","10,9","4,2"
2020-07-07,0,"-0,9","8,8","3,3"
2020-07-08,0,"-2,1","11,7","3,6"
2020-07-09,0,"-2,4","17,5","5,2"
2020-07-10,0,"0,4","19,3","6,5"
2020-07-11,0,"-2,9",21,"4,1"
2020-07-12,0,"0,9","14,4","5,3"
2020-07-13,0,"-1,8","11,9","2,6"
2020-07-14,0,"-3,6",18,"3,2"
2020-07-15,0,"-1,7","18,7","3,5"
2020-07-16,0,"-0,6","20,8","3,7"
2020-07-17,0,"-1,9","24,2","6,6"
2020-07-18,0,"1,5","18,5","3,2"
2020-07-19,0,"5,4","10,9","3,2"
2020-07-20,"0,2",7,"10,6","3,2"
2020-07-21,"1,1","7,3","8,9","3,9"
2020-07-22,"0,5","2,6","7,8","6,4"
2020-07-23,"0,6","0,9","5,6","6,1"
2020-07-24,0,"-2,3",13,"6,8"
