Date,Precipitacion,Temperatura_Minima,Temperatura_Maxima,Int._del_Viento
2017-08-25,0,9,"11,9","5,1"
2017-08-26,0,-1,"18,4","5,5"
2017-08-27,0,"3,2","26,7","4,4"
2017-08-28,"0,7","7,1","20,3","6,6"
2017-08-29,"2,1","1,2","11,9","6,9"
2017-08-30,0,"-0,4","17,5",4
2017-08-31,0,"0,2","24,2","6,5"
2017-09-01,0,"3,1","28,2","4,5"
2017-09-02,0,5,"15,4","4,8"
2017-09-03,0,"7,3",12,"6,2"
2017-09-04,0,"4,1","15,6","2,9"
2017-09-05,0,"-2,5",21,"4,8"
2017-09-06,0,"4,7","21,9","4,8"
2017-09-07,0,"0,9","22,6","6,5"
2017-09-08,0,"4,5","24,5","6,6"
2017-09-09,2,"6,9","12,5","5,8"
2017-09-10,"19,8","4,6","7,7","8,4"
2017-09-11,0,3,"16,3","6,9"
2017-09-12,0,1,"20,8",4
2017-09-13,0,"4,2","22,6","3,3"
2017-09-14,0,"4,9","18,5","6,2"
2017-09-15,0,"3,2","16,3","3,6"
2017-09-16,0,"0,6","22,1","4,2"
2017-09-17,0,"3,2","25,8","6,3"
2017-09-18,0,"9,5","28,5","4,4"
2017-09-19,0,11,"31,5","5,9"
2017-09-20,0,"8,8","19,2","10,1"
2017-09-21,0,"2,3",19,"3,7"
2017-09-22,0,"-0,2","25,5","3,4"
2017-09-23,0,"5,8","28,4","4,1"
2017-09-24,0,"10,2","27,2","4,4"
2017-09-25,0,"7,5","23,6","3,8"
2017-09-26,"1,4","5,5","18,2","5,8"
2017-09-27,2,"6,4","9,1","4,2"
2017-09-28,0,0,"15,5","4,2"
2017-09-29,0,0,"24,2","3,9"
2017-09-30,"3,3","8,1","20,8","9,8"
2017-10-01,"0,4","4,7","19,2","7,6"
2017-10-02,0,"3,8","20,7","6,6"
2017-10-03,0,"5,9","26,6","4,3"
2017-10-04,0,"14,6","34,2",8
2017-10-05,0,"5,5","22,7","5,7"
2017-10-06,0,"2,6",22,"6,9"
2017-10-07,0,"11,2","26,9","6,4"
2017-10-08,"3,6","6,9","17,3","9,2"
2017-10-09,0,"3,4","23,1","3,8"
2017-10-10,"0,2","6,5","19,4","6,7"
2017-10-11,"10,9","7,5","12,6",7
2017-10-12,"12,2","6,2","10,1","5,3"
2017-10-13,"0,1","5,2","18,8","2,5"
2017-10-14,0,"5,4","25,7","3,2"
2017-10-15,0,"5,5","28,8","4,2"
2017-10-16,0,"15,7","31,3","5,7"
2017-10-17,0,"13,6","31,9","3,5"
2017-10-18,0,"9,1","26,2","9,6"
2017-10-19,0,"2,7","27,5","3,3"
2017-10-20,0,"10,7","26,1","7,7"
2017-10-21,0,"4,8","20,7","4,9"
2017-10-22,0,"3,1",26,"4,6"
